"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Outros";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Outros";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Outros";"Língua Portuguesa"
t;t;t;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Educação Física"
t;t;t;f;"T";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Educação Física"
t;t;t;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Inglês"
t;t;t;f;"T";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Inglês"
t;t;t;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;t;t;f;"T";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;t;t;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;t;t;f;"T";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;t;t;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Ciências"
